,Date,Home,homeGoals,Visitor,awayGoals
790,2009-02-08,Minnesota Wild,3,Edmonton Oilers,2
798,2009-02-10,New York Islanders,3,Los Angeles Kings,4
808,2009-02-11,New York Rangers,5,Washington Capitals,4
809,2009-02-11,Pittsburgh Penguins,2,San Jose Sharks,1
813,2009-02-12,Nashville Predators,4,St. Louis Blues,3
817,2009-02-13,Buffalo Sabres,6,San Jose Sharks,5
821,2009-02-13,Florida Panthers,2,New York Rangers,1
826,2009-02-14,Los Angeles Kings,2,Edmonton Oilers,3
828,2009-02-14,Nashville Predators,3,Boston Bruins,2
835,2009-02-15,Detroit Red Wings,5,Colorado Avalanche,6
840,2009-02-16,Columbus Blue Jackets,2,Dallas Stars,3
841,2009-02-16,Los Angeles Kings,6,Atlanta Thrashers,7
843,2009-02-16,New York Islanders,3,Pittsburgh Penguins,2
847,2009-02-17,Calgary Flames,3,Vancouver Canucks,4
857,2009-02-18,Washington Capitals,4,Montreal Canadiens,3
865,2009-02-19,Phoenix Coyotes,4,Atlanta Thrashers,3
868,2009-02-19,Tampa Bay Lightning,2,New Jersey Devils,3
869,2009-02-19,Toronto Maple Leafs,3,Columbus Blue Jackets,4
876,2009-02-21,Edmonton Oilers,2,Calgary Flames,3
885,2009-02-21,Toronto Maple Leafs,2,Vancouver Canucks,3
897,2009-02-24,Minnesota Wild,1,Los Angeles Kings,2
906,2009-02-25,Toronto Maple Leafs,2,New York Rangers,1
908,2009-02-26,Carolina Hurricanes,2,Buffalo Sabres,1
913,2009-02-26,New York Islanders,4,Toronto Maple Leafs,5
984,2009-03-08,Washington Capitals,3,Pittsburgh Penguins,4
996,2009-03-10,Pittsburgh Penguins,4,Florida Panthers,3
1000,2009-03-11,Chicago Blackhawks,3,Carolina Hurricanes,2
1004,2009-03-12,Columbus Blue Jackets,4,Pittsburgh Penguins,3
1005,2009-03-12,Colorado Avalanche,2,Minnesota Wild,1
1007,2009-03-12,Detroit Red Wings,5,Calgary Flames,6
1018,2009-03-14,Buffalo Sabres,3,Atlanta Thrashers,4
1021,2009-03-14,Florida Panthers,3,Tampa Bay Lightning,4
1025,2009-03-14,Pittsburgh Penguins,3,Ottawa Senators,4
1026,2009-03-14,San Jose Sharks,2,Los Angeles Kings,1
1029,2009-03-14,Washington Capitals,5,Carolina Hurricanes,4
1040,2009-03-17,Edmonton Oilers,2,St. Louis Blues,1
1042,2009-03-17,Minnesota Wild,3,Colorado Avalanche,2
1043,2009-03-17,Montreal Canadiens,3,New York Rangers,4
1048,2009-03-17,Tampa Bay Lightning,3,Toronto Maple Leafs,4
1058,2009-03-19,Phoenix Coyotes,2,Anaheim Ducks,3
1059,2009-03-19,San Jose Sharks,3,Nashville Predators,2
1066,2009-03-20,Chicago Blackhawks,4,Edmonton Oilers,5
1076,2009-03-21,Tampa Bay Lightning,3,Atlanta Thrashers,4
1090,2009-03-24,Nashville Predators,1,Anaheim Ducks,2
1094,2009-03-24,Toronto Maple Leafs,3,Washington Capitals,2
1097,2009-03-25,Chicago Blackhawks,6,San Jose Sharks,5
1101,2009-03-26,Atlanta Thrashers,5,New York Rangers,4
1103,2009-03-26,Dallas Stars,0,Los Angeles Kings,1
1118,2009-03-28,Montreal Canadiens,3,Buffalo Sabres,4
1121,2009-03-28,New York Islanders,3,Philadelphia Flyers,4
1124,2009-03-28,St. Louis Blues,4,Columbus Blue Jackets,3
1156,2009-04-02,Vancouver Canucks,5,Anaheim Ducks,6
1169,2009-04-04,Nashville Predators,5,Columbus Blue Jackets,4
1171,2009-04-04,Ottawa Senators,4,Philadelphia Flyers,3
1193,2009-04-07,San Jose Sharks,1,Colorado Avalanche,0
1196,2009-04-08,Chicago Blackhawks,3,Columbus Blue Jackets,4
1201,2009-04-09,Colorado Avalanche,2,Dallas Stars,3
1202,2009-04-09,Detroit Red Wings,3,Nashville Predators,4
1204,2009-04-09,Ottawa Senators,2,New Jersey Devils,3
1209,2009-04-10,Anaheim Ducks,4,Dallas Stars,3
1224,2009-04-11,Phoenix Coyotes,5,Anaheim Ducks,4
5,2009-10-02,Chicago Blackhawks,3,Florida Panthers,4
14,2009-10-03,Dallas Stars,2,Nashville Predators,3
19,2009-10-03,New York Islanders,3,Pittsburgh Penguins,4
25,2009-10-06,Carolina Hurricanes,2,Tampa Bay Lightning,1
27,2009-10-06,Edmonton Oilers,5,Dallas Stars,4
37,2009-10-08,Edmonton Oilers,3,Calgary Flames,4
44,2009-10-08,Tampa Bay Lightning,3,New Jersey Devils,4
48,2009-10-10,Boston Bruins,4,New York Islanders,3
49,2009-10-10,Chicago Blackhawks,4,Colorado Avalanche,3
55,2009-10-10,Philadelphia Flyers,2,Anaheim Ducks,3
62,2009-10-11,Vancouver Canucks,4,Dallas Stars,3
69,2009-10-12,San Jose Sharks,0,Phoenix Coyotes,1
71,2009-10-12,Washington Capitals,2,New Jersey Devils,3
76,2009-10-14,Carolina Hurricanes,2,Pittsburgh Penguins,3
96,2009-10-17,Detroit Red Wings,3,Colorado Avalanche,4
104,2009-10-17,Washington Capitals,3,Nashville Predators,2
109,2009-10-20,Montreal Canadiens,2,Atlanta Thrashers,1
115,2009-10-21,Minnesota Wild,3,Colorado Avalanche,2
116,2009-10-21,New York Islanders,4,Carolina Hurricanes,3
123,2009-10-22,Philadelphia Flyers,4,Boston Bruins,3
127,2009-10-23,Pittsburgh Penguins,3,Florida Panthers,2
137,2009-10-24,Ottawa Senators,3,Boston Bruins,4
142,2009-10-24,Tampa Bay Lightning,2,Buffalo Sabres,3
163,2009-10-28,San Jose Sharks,2,Los Angeles Kings,1
166,2009-10-29,Edmonton Oilers,6,Detroit Red Wings,5
167,2009-10-29,Los Angeles Kings,1,Vancouver Canucks,2
173,2009-10-30,Columbus Blue Jackets,3,Pittsburgh Penguins,4
175,2009-10-30,Dallas Stars,5,Florida Panthers,6
181,2009-10-31,Montreal Canadiens,5,Toronto Maple Leafs,4
186,2009-10-31,Phoenix Coyotes,3,Anaheim Ducks,2
189,2009-10-31,Tampa Bay Lightning,1,New Jersey Devils,2
203,2009-11-04,Columbus Blue Jackets,2,San Jose Sharks,3
210,2009-11-05,Boston Bruins,1,Montreal Canadiens,2
211,2009-11-05,Detroit Red Wings,2,San Jose Sharks,1
220,2009-11-06,Colorado Avalanche,4,Chicago Blackhawks,3
233,2009-11-07,Philadelphia Flyers,2,St. Louis Blues,1
237,2009-11-08,Atlanta Thrashers,3,St. Louis Blues,2
242,2009-11-10,Ottawa Senators,4,Edmonton Oilers,3
249,2009-11-11,Chicago Blackhawks,3,Colorado Avalanche,2
251,2009-11-11,Washington Capitals,5,New York Islanders,4
252,2009-11-12,Boston Bruins,0,Florida Panthers,1
258,2009-11-12,San Jose Sharks,2,Dallas Stars,3
260,2009-11-12,Tampa Bay Lightning,4,Minnesota Wild,3
262,2009-11-13,Buffalo Sabres,2,Calgary Flames,1
264,2009-11-13,Columbus Blue Jackets,3,Anaheim Ducks,2
269,2009-11-14,Florida Panthers,5,New York Islanders,4
272,2009-11-14,Ottawa Senators,1,New York Rangers,2
277,2009-11-14,Tampa Bay Lightning,1,Los Angeles Kings,2
280,2009-11-15,Carolina Hurricanes,5,Minnesota Wild,4
283,2009-11-16,Columbus Blue Jackets,3,Edmonton Oilers,2
284,2009-11-16,Florida Panthers,3,Los Angeles Kings,4
289,2009-11-17,Montreal Canadiens,3,Carolina Hurricanes,2
299,2009-11-19,Atlanta Thrashers,3,Boston Bruins,4
300,2009-11-19,Carolina Hurricanes,6,Toronto Maple Leafs,5
303,2009-11-19,Nashville Predators,3,New Jersey Devils,2
318,2009-11-21,Montreal Canadiens,2,Detroit Red Wings,3
319,2009-11-21,Nashville Predators,4,Columbus Blue Jackets,3
324,2009-11-21,Toronto Maple Leafs,2,Washington Capitals,1
327,2009-11-23,Anaheim Ducks,3,Calgary Flames,2
341,2009-11-25,Dallas Stars,3,St. Louis Blues,4
344,2009-11-25,Florida Panthers,1,New York Rangers,2
345,2009-11-25,Minnesota Wild,1,Boston Bruins,2
355,2009-11-27,Boston Bruins,1,New Jersey Devils,2
358,2009-11-27,Edmonton Oilers,4,San Jose Sharks,5
367,2009-11-28,Boston Bruins,4,Ottawa Senators,3
369,2009-11-28,Columbus Blue Jackets,3,Calgary Flames,4
370,2009-11-28,Colorado Avalanche,2,Minnesota Wild,3
372,2009-11-28,Los Angeles Kings,2,Chicago Blackhawks,1
373,2009-11-28,Montreal Canadiens,3,Washington Capitals,4
377,2009-11-28,St. Louis Blues,3,Detroit Red Wings,4
390,2009-12-01,Chicago Blackhawks,4,Columbus Blue Jackets,3
394,2009-12-02,Florida Panthers,6,Colorado Avalanche,5
406,2009-12-03,San Jose Sharks,2,St. Louis Blues,3
409,2009-12-04,Minnesota Wild,5,Anaheim Ducks,4
416,2009-12-05,Dallas Stars,2,Edmonton Oilers,3
417,2009-12-05,Florida Panthers,1,Atlanta Thrashers,2
418,2009-12-05,Los Angeles Kings,4,St. Louis Blues,5
419,2009-12-05,New Jersey Devils,4,Detroit Red Wings,3
426,2009-12-06,Anaheim Ducks,3,Ottawa Senators,4
429,2009-12-07,Florida Panthers,2,Edmonton Oilers,3
452,2009-12-10,Los Angeles Kings,3,Phoenix Coyotes,2
454,2009-12-10,Nashville Predators,4,Columbus Blue Jackets,3
459,2009-12-11,Colorado Avalanche,2,Tampa Bay Lightning,1
462,2009-12-11,San Jose Sharks,2,Dallas Stars,3
467,2009-12-12,Los Angeles Kings,3,Dallas Stars,2
484,2009-12-14,New York Rangers,2,Atlanta Thrashers,3
502,2009-12-17,Columbus Blue Jackets,1,Phoenix Coyotes,2
508,2009-12-17,Philadelphia Flyers,2,Pittsburgh Penguins,3
511,2009-12-18,Chicago Blackhawks,5,Boston Bruins,4
518,2009-12-19,Buffalo Sabres,1,Pittsburgh Penguins,2
546,2009-12-23,Calgary Flames,1,St. Louis Blues,2
556,2009-12-26,Buffalo Sabres,2,Ottawa Senators,3
557,2009-12-26,Carolina Hurricanes,3,Philadelphia Flyers,4
580,2009-12-28,San Jose Sharks,3,Phoenix Coyotes,2
586,2009-12-29,New York Islanders,2,Columbus Blue Jackets,1
587,2009-12-29,Phoenix Coyotes,3,Vancouver Canucks,2
605,2009-12-31,Ottawa Senators,3,New York Islanders,2
606,2009-12-31,Phoenix Coyotes,2,San Jose Sharks,3
616,2010-01-02,New York Islanders,6,Atlanta Thrashers,5
645,2010-01-07,Atlanta Thrashers,2,New York Rangers,1
661,2010-01-09,Buffalo Sabres,3,Colorado Avalanche,4
663,2010-01-09,Minnesota Wild,6,Chicago Blackhawks,5
668,2010-01-09,Phoenix Coyotes,4,New York Islanders,5
671,2010-01-09,Vancouver Canucks,2,Calgary Flames,3
675,2010-01-11,Calgary Flames,2,Colorado Avalanche,3
682,2010-01-12,New York Rangers,0,New Jersey Devils,1
690,2010-01-13,Florida Panthers,4,Washington Capitals,5
700,2010-01-14,San Jose Sharks,1,Boston Bruins,2
709,2010-01-16,Dallas Stars,3,Detroit Red Wings,2
711,2010-01-16,Los Angeles Kings,4,Boston Bruins,3
713,2010-01-16,New York Islanders,3,Buffalo Sabres,2
719,2010-01-17,Detroit Red Wings,3,Chicago Blackhawks,4
746,2010-01-21,Los Angeles Kings,4,Buffalo Sabres,3
747,2010-01-21,Minnesota Wild,3,Detroit Red Wings,4
748,2010-01-21,New York Islanders,2,Florida Panthers,1
767,2010-01-23,St. Louis Blues,3,Anaheim Ducks,4
768,2010-01-23,Tampa Bay Lightning,2,Atlanta Thrashers,1
785,2010-01-27,Buffalo Sabres,2,New Jersey Devils,1
786,2010-01-27,Dallas Stars,4,Calgary Flames,3
797,2010-01-28,Phoenix Coyotes,3,Calgary Flames,2
804,2010-01-29,Tampa Bay Lightning,1,Anaheim Ducks,2
806,2010-01-30,Boston Bruins,2,Los Angeles Kings,3
820,2010-01-31,Pittsburgh Penguins,2,Detroit Red Wings,1
832,2010-02-02,Nashville Predators,0,Phoenix Coyotes,1
840,2010-02-04,Boston Bruins,2,Montreal Canadiens,3
850,2010-02-05,Chicago Blackhawks,1,Phoenix Coyotes,2
855,2010-02-06,Boston Bruins,2,Vancouver Canucks,3
875,2010-02-09,Buffalo Sabres,2,Boston Bruins,3
877,2010-02-09,Chicago Blackhawks,4,Dallas Stars,3
878,2010-02-09,New York Islanders,4,Nashville Predators,3
880,2010-02-09,St. Louis Blues,4,Detroit Red Wings,3
892,2010-02-11,Detroit Red Wings,2,San Jose Sharks,3
894,2010-02-11,Los Angeles Kings,2,Edmonton Oilers,3
907,2010-02-13,Chicago Blackhawks,5,Atlanta Thrashers,4
909,2010-02-13,Florida Panthers,2,Boston Bruins,3
914,2010-02-13,St. Louis Blues,4,Washington Capitals,3
915,2010-02-14,Columbus Blue Jackets,4,Chicago Blackhawks,5
920,2010-02-14,Pittsburgh Penguins,3,Nashville Predators,4
941,2010-03-04,Boston Bruins,3,Toronto Maple Leafs,2
953,2010-03-05,Edmonton Oilers,2,Minnesota Wild,1
958,2010-03-06,Ottawa Senators,1,Toronto Maple Leafs,2
964,2010-03-07,Anaheim Ducks,3,Montreal Canadiens,4
974,2010-03-08,Washington Capitals,3,Dallas Stars,4
980,2010-03-09,Minnesota Wild,2,Florida Panthers,3
987,2010-03-10,Phoenix Coyotes,4,Vancouver Canucks,3
994,2010-03-11,Montreal Canadiens,5,Edmonton Oilers,4
995,2010-03-11,New York Islanders,1,St. Louis Blues,2
1002,2010-03-12,Dallas Stars,1,Los Angeles Kings,2
1015,2010-03-14,Atlanta Thrashers,2,Phoenix Coyotes,3
1032,2010-03-16,Nashville Predators,4,Philadelphia Flyers,3
1045,2010-03-18,Florida Panthers,3,Phoenix Coyotes,4
1050,2010-03-18,Toronto Maple Leafs,2,New Jersey Devils,1
1055,2010-03-19,Edmonton Oilers,3,Detroit Red Wings,2
1062,2010-03-20,Phoenix Coyotes,5,Chicago Blackhawks,4
1065,2010-03-20,Toronto Maple Leafs,3,Montreal Canadiens,2
1070,2010-03-21,Dallas Stars,2,Phoenix Coyotes,3
1089,2010-03-24,Buffalo Sabres,3,Montreal Canadiens,2
1090,2010-03-24,Colorado Avalanche,4,Los Angeles Kings,3
1094,2010-03-24,Washington Capitals,4,Pittsburgh Penguins,3
1097,2010-03-25,Carolina Hurricanes,3,Washington Capitals,2
1100,2010-03-25,New Jersey Devils,3,New York Rangers,4
1101,2010-03-25,Nashville Predators,4,Phoenix Coyotes,3
1115,2010-03-27,Nashville Predators,0,Detroit Red Wings,1
1123,2010-03-28,Pittsburgh Penguins,5,Toronto Maple Leafs,4
1153,2010-04-01,Ottawa Senators,4,Carolina Hurricanes,3
1156,2010-04-02,Anaheim Ducks,4,Vancouver Canucks,5
1160,2010-04-02,New Jersey Devils,1,Chicago Blackhawks,2
1167,2010-04-03,Los Angeles Kings,1,Anaheim Ducks,2
1170,2010-04-03,Phoenix Coyotes,3,Edmonton Oilers,2
1181,2010-04-06,Anaheim Ducks,4,Los Angeles Kings,5
1187,2010-04-06,New York Islanders,4,Montreal Canadiens,3
1191,2010-04-06,Vancouver Canucks,3,Colorado Avalanche,4
1199,2010-04-08,Calgary Flames,1,Minnesota Wild,2
1200,2010-04-08,Dallas Stars,3,Anaheim Ducks,2
1202,2010-04-08,Los Angeles Kings,2,Phoenix Coyotes,3
1205,2010-04-08,Tampa Bay Lightning,4,Ottawa Senators,3
1206,2010-04-09,Columbus Blue Jackets,0,Detroit Red Wings,1
1213,2010-04-10,Los Angeles Kings,3,Edmonton Oilers,4
