,Date,Home,homeGoals,Visitor,awayGoals
721,2011-01-22,Vancouver Canucks,3,Calgary Flames,4
723,2011-01-23,Edmonton Oilers,2,Nashville Predators,3
732,2011-01-24,Washington Capitals,1,New York Rangers,2
747,2011-01-26,Los Angeles Kings,3,San Jose Sharks,2
754,2011-02-01,Minnesota Wild,1,Los Angeles Kings,0
756,2011-02-01,Nashville Predators,2,Calgary Flames,3
757,2011-02-01,New York Rangers,3,Pittsburgh Penguins,4
760,2011-02-01,Toronto Maple Leafs,4,Florida Panthers,3
761,2011-02-01,Washington Capitals,2,Montreal Canadiens,3
784,2011-02-05,Calgary Flames,3,Los Angeles Kings,4
815,2011-02-10,Montreal Canadiens,3,New York Islanders,4
823,2011-02-11,Dallas Stars,4,Chicago Blackhawks,3
826,2011-02-11,St. Louis Blues,4,Minnesota Wild,5
831,2011-02-12,Phoenix Coyotes,3,Chicago Blackhawks,2
849,2011-02-15,Montreal Canadiens,2,Buffalo Sabres,3
851,2011-02-15,Ottawa Senators,3,New York Islanders,4
852,2011-02-15,Tampa Bay Lightning,3,Philadelphia Flyers,4
855,2011-02-16,Columbus Blue Jackets,3,Los Angeles Kings,4
864,2011-02-17,New York Rangers,4,Los Angeles Kings,3
881,2011-02-19,Tampa Bay Lightning,2,Florida Panthers,3
882,2011-02-19,Toronto Maple Leafs,0,Ottawa Senators,1
886,2011-02-20,Chicago Blackhawks,3,Pittsburgh Penguins,2
887,2011-02-20,Minnesota Wild,1,Detroit Red Wings,2
892,2011-02-22,Carolina Hurricanes,3,New York Rangers,4
915,2011-02-25,Atlanta Thrashers,1,Florida Panthers,2
919,2011-02-25,Calgary Flames,3,San Jose Sharks,4
923,2011-02-26,Buffalo Sabres,2,Detroit Red Wings,3
929,2011-02-26,Toronto Maple Leafs,5,Pittsburgh Penguins,6
934,2011-02-27,Chicago Blackhawks,4,Phoenix Coyotes,3
943,2011-03-01,Edmonton Oilers,2,Nashville Predators,1
947,2011-03-01,San Jose Sharks,2,Colorado Avalanche,1
949,2011-03-01,Vancouver Canucks,2,Columbus Blue Jackets,1
978,2011-03-05,Phoenix Coyotes,5,Detroit Red Wings,4
986,2011-03-06,New York Islanders,2,New Jersey Devils,3
989,2011-03-07,St. Louis Blues,5,Columbus Blue Jackets,4
990,2011-03-07,Tampa Bay Lightning,1,Washington Capitals,2
1003,2011-03-09,Dallas Stars,3,Calgary Flames,4
1005,2011-03-09,Tampa Bay Lightning,4,Chicago Blackhawks,3
1011,2011-03-10,San Jose Sharks,4,Vancouver Canucks,5
1029,2011-03-12,San Jose Sharks,2,New York Rangers,3
1041,2011-03-15,Columbus Blue Jackets,2,Boston Bruins,3
1054,2011-03-17,Atlanta Thrashers,4,Philadelphia Flyers,3
1061,2011-03-17,Montreal Canadiens,3,Tampa Bay Lightning,2
1070,2011-03-19,Dallas Stars,2,Philadelphia Flyers,3
1071,2011-03-19,Edmonton Oilers,2,Colorado Avalanche,3
1072,2011-03-19,Florida Panthers,3,New York Islanders,4
1085,2011-03-21,Detroit Red Wings,4,Pittsburgh Penguins,5
1086,2011-03-21,Los Angeles Kings,2,Calgary Flames,1
1089,2011-03-22,Colorado Avalanche,5,Columbus Blue Jackets,4
1094,2011-03-22,Philadelphia Flyers,4,Washington Capitals,5
1103,2011-03-24,Los Angeles Kings,4,San Jose Sharks,3
1106,2011-03-24,New York Rangers,1,Ottawa Senators,2
1107,2011-03-24,Philadelphia Flyers,1,Pittsburgh Penguins,2
1113,2011-03-25,Pittsburgh Penguins,1,New Jersey Devils,0
1120,2011-03-26,Edmonton Oilers,4,Calgary Flames,5
1127,2011-03-27,Atlanta Thrashers,5,Ottawa Senators,4
1130,2011-03-27,Pittsburgh Penguins,2,Florida Panthers,1
1134,2011-03-29,Columbus Blue Jackets,3,Florida Panthers,2
1138,2011-03-29,Phoenix Coyotes,2,Dallas Stars,1
1140,2011-03-29,St. Louis Blues,2,Minnesota Wild,3
1143,2011-03-29,Washington Capitals,2,Carolina Hurricanes,3
1149,2011-03-31,Boston Bruins,3,Toronto Maple Leafs,4
1159,2011-04-01,Columbus Blue Jackets,3,Chicago Blackhawks,4
1161,2011-04-01,Phoenix Coyotes,3,Colorado Avalanche,4
1180,2011-04-03,Philadelphia Flyers,2,New York Rangers,3
1191,2011-04-05,Toronto Maple Leafs,2,Washington Capitals,3
1197,2011-04-06,Los Angeles Kings,3,Phoenix Coyotes,2
1211,2011-04-08,New York Islanders,3,Pittsburgh Penguins,4
2,2011-10-06,Vancouver Canucks,3,Pittsburgh Penguins,4
9,2011-10-08,Anaheim Ducks,2,New York Rangers,1
22,2011-10-09,Edmonton Oilers,2,Pittsburgh Penguins,1
26,2011-10-10,Dallas Stars,2,Phoenix Coyotes,1
30,2011-10-10,Washington Capitals,6,Tampa Bay Lightning,5
31,2011-10-11,Ottawa Senators,4,Minnesota Wild,3
34,2011-10-12,Columbus Blue Jackets,2,Colorado Avalanche,3
39,2011-10-13,Minnesota Wild,2,Edmonton Oilers,1
41,2011-10-13,New Jersey Devils,2,Los Angeles Kings,1
48,2011-10-15,Chicago Blackhawks,2,Boston Bruins,3
51,2011-10-15,Florida Panthers,3,Tampa Bay Lightning,2
53,2011-10-15,Montreal Canadiens,5,Colorado Avalanche,6
54,2011-10-15,Nashville Predators,2,New Jersey Devils,3
78,2011-10-19,Toronto Maple Leafs,4,Winnipeg Jets,3
82,2011-10-20,Edmonton Oilers,1,Minnesota Wild,2
92,2011-10-21,New Jersey Devils,3,San Jose Sharks,4
96,2011-10-22,Chicago Blackhawks,4,Colorado Avalanche,5
113,2011-10-25,Carolina Hurricanes,2,Ottawa Senators,3
115,2011-10-25,Chicago Blackhawks,3,Anaheim Ducks,2
120,2011-10-25,Phoenix Coyotes,2,Dallas Stars,3
134,2011-10-27,Pittsburgh Penguins,3,New York Islanders,2
146,2011-10-29,New York Rangers,4,Ottawa Senators,5
157,2011-10-31,Florida Panthers,3,Winnipeg Jets,4
169,2011-11-03,Florida Panthers,2,Chicago Blackhawks,3
173,2011-11-03,New York Rangers,2,Anaheim Ducks,1
174,2011-11-03,Philadelphia Flyers,3,New Jersey Devils,4
176,2011-11-03,San Jose Sharks,4,Pittsburgh Penguins,3
184,2011-11-05,Los Angeles Kings,2,Pittsburgh Penguins,3
189,2011-11-05,Ottawa Senators,2,Buffalo Sabres,3
197,2011-11-06,Florida Panthers,3,Tampa Bay Lightning,4
219,2011-11-10,St. Louis Blues,2,Toronto Maple Leafs,3
238,2011-11-12,Washington Capitals,2,New Jersey Devils,3
244,2011-11-14,Montreal Canadiens,2,Buffalo Sabres,3
254,2011-11-15,Toronto Maple Leafs,2,Phoenix Coyotes,3
256,2011-11-16,Los Angeles Kings,2,Anaheim Ducks,1
260,2011-11-17,Boston Bruins,2,Columbus Blue Jackets,1
278,2011-11-19,Minnesota Wild,3,St. Louis Blues,2
299,2011-11-23,Buffalo Sabres,3,Boston Bruins,4
300,2011-11-23,Carolina Hurricanes,3,Montreal Canadiens,4
306,2011-11-23,New Jersey Devils,2,Columbus Blue Jackets,1
313,2011-11-25,Boston Bruins,2,Detroit Red Wings,3
316,2011-11-25,Dallas Stars,3,Toronto Maple Leafs,4
355,2011-11-30,Edmonton Oilers,2,Minnesota Wild,3
358,2011-12-01,Calgary Flames,3,Columbus Blue Jackets,4
361,2011-12-01,San Jose Sharks,4,Montreal Canadiens,3
367,2011-12-02,Chicago Blackhawks,5,New York Islanders,4
368,2011-12-02,Colorado Avalanche,3,St. Louis Blues,2
386,2011-12-05,Chicago Blackhawks,3,Phoenix Coyotes,4
393,2011-12-06,Montreal Canadiens,2,Columbus Blue Jackets,3
409,2011-12-08,Montreal Canadiens,3,Vancouver Canucks,4
410,2011-12-08,New Jersey Devils,5,Ottawa Senators,4
412,2011-12-08,New York Rangers,2,Tampa Bay Lightning,3
437,2011-12-13,Columbus Blue Jackets,2,Vancouver Canucks,1
438,2011-12-13,Colorado Avalanche,4,San Jose Sharks,3
439,2011-12-13,Florida Panthers,2,New Jersey Devils,3
448,2011-12-14,Minnesota Wild,3,Chicago Blackhawks,4
462,2011-12-16,Florida Panthers,3,Calgary Flames,2
468,2011-12-17,Minnesota Wild,1,New York Islanders,2
470,2011-12-17,Nashville Predators,2,St. Louis Blues,1
481,2011-12-19,Colorado Avalanche,3,Philadelphia Flyers,2
484,2011-12-19,Toronto Maple Leafs,2,Los Angeles Kings,3
491,2011-12-20,Winnipeg Jets,2,New York Islanders,3
501,2011-12-22,Los Angeles Kings,3,Anaheim Ducks,2
511,2011-12-23,New Jersey Devils,4,Washington Capitals,3
515,2011-12-23,San Jose Sharks,2,Los Angeles Kings,1
528,2011-12-27,Columbus Blue Jackets,1,Calgary Flames,2
537,2011-12-28,Nashville Predators,2,Minnesota Wild,1
553,2011-12-30,St. Louis Blues,1,Nashville Predators,2
556,2011-12-31,Buffalo Sabres,2,Ottawa Senators,3
569,2012-01-02,Los Angeles Kings,1,Colorado Avalanche,2
572,2012-01-02,Vancouver Canucks,2,San Jose Sharks,3
574,2012-01-03,Carolina Hurricanes,3,New York Islanders,4
621,2012-01-10,Minnesota Wild,5,San Jose Sharks,4
624,2012-01-10,New York Rangers,2,Phoenix Coyotes,1
626,2012-01-10,Tampa Bay Lightning,4,Vancouver Canucks,5
633,2012-01-12,Detroit Red Wings,3,Phoenix Coyotes,2
634,2012-01-12,Los Angeles Kings,4,Dallas Stars,5
651,2012-01-14,Montreal Canadiens,2,Ottawa Senators,3
654,2012-01-14,St. Louis Blues,3,Minnesota Wild,2
664,2012-01-16,Florida Panthers,2,Boston Bruins,3
670,2012-01-17,Dallas Stars,2,Detroit Red Wings,3
674,2012-01-17,Pittsburgh Penguins,2,Carolina Hurricanes,1
675,2012-01-17,San Jose Sharks,2,Calgary Flames,1
678,2012-01-17,Vancouver Canucks,2,Los Angeles Kings,3
685,2012-01-19,Los Angeles Kings,1,Calgary Flames,2
689,2012-01-19,Phoenix Coyotes,2,Detroit Red Wings,3
697,2012-01-20,Pittsburgh Penguins,5,Montreal Canadiens,4
700,2012-01-21,Detroit Red Wings,3,Columbus Blue Jackets,2
711,2012-01-21,Winnipeg Jets,3,Florida Panthers,4
713,2012-01-22,Philadelphia Flyers,5,Boston Bruins,6
717,2012-01-23,Edmonton Oilers,2,San Jose Sharks,1
725,2012-01-24,Florida Panthers,2,Philadelphia Flyers,3
726,2012-01-24,New Jersey Devils,1,Buffalo Sabres,2
730,2012-01-24,St. Louis Blues,2,Pittsburgh Penguins,3
732,2012-01-24,Vancouver Canucks,3,Edmonton Oilers,2
741,2012-01-31,New Jersey Devils,4,New York Rangers,3
742,2012-01-31,Philadelphia Flyers,1,Winnipeg Jets,2
744,2012-01-31,Pittsburgh Penguins,5,Toronto Maple Leafs,4
749,2012-02-01,Buffalo Sabres,0,New York Rangers,1
760,2012-02-02,Vancouver Canucks,3,Detroit Red Wings,4
768,2012-02-04,Colorado Avalanche,2,Vancouver Canucks,3
769,2012-02-04,Dallas Stars,2,Minnesota Wild,1
770,2012-02-04,Edmonton Oilers,5,Detroit Red Wings,4
773,2012-02-04,New York Islanders,3,Buffalo Sabres,4
782,2012-02-06,Anaheim Ducks,3,Calgary Flames,2
788,2012-02-07,Montreal Canadiens,3,Pittsburgh Penguins,2
789,2012-02-07,Nashville Predators,3,Vancouver Canucks,4
792,2012-02-07,Philadelphia Flyers,0,New York Islanders,1
803,2012-02-09,New Jersey Devils,3,St. Louis Blues,4
809,2012-02-09,Washington Capitals,2,Winnipeg Jets,3
810,2012-02-10,Buffalo Sabres,3,Dallas Stars,2
812,2012-02-10,Detroit Red Wings,2,Anaheim Ducks,1
814,2012-02-11,Boston Bruins,4,Nashville Predators,3
816,2012-02-11,Calgary Flames,3,Vancouver Canucks,2
834,2012-02-13,Vancouver Canucks,2,Phoenix Coyotes,1
847,2012-02-15,Montreal Canadiens,3,Boston Bruins,4
852,2012-02-16,Minnesota Wild,3,Winnipeg Jets,4
857,2012-02-17,Buffalo Sabres,3,Montreal Canadiens,4
862,2012-02-17,New Jersey Devils,3,Anaheim Ducks,2
890,2012-02-21,Phoenix Coyotes,5,Los Angeles Kings,4
898,2012-02-23,Carolina Hurricanes,2,Anaheim Ducks,3
899,2012-02-23,Calgary Flames,3,Phoenix Coyotes,4
901,2012-02-23,Detroit Red Wings,3,Vancouver Canucks,4
903,2012-02-23,Florida Panthers,2,Minnesota Wild,3
904,2012-02-23,Nashville Predators,2,St. Louis Blues,3
907,2012-02-24,Buffalo Sabres,2,Boston Bruins,1
911,2012-02-24,New York Islanders,4,New York Rangers,3
913,2012-02-25,Carolina Hurricanes,2,Florida Panthers,3
914,2012-02-25,Calgary Flames,4,Philadelphia Flyers,5
923,2012-02-25,Winnipeg Jets,2,St. Louis Blues,3
940,2012-02-28,Phoenix Coyotes,2,Vancouver Canucks,1
947,2012-02-29,Dallas Stars,3,Pittsburgh Penguins,4
952,2012-03-01,Montreal Canadiens,5,Minnesota Wild,4
973,2012-03-04,Calgary Flames,2,Dallas Stars,3
989,2012-03-06,San Jose Sharks,2,Edmonton Oilers,3
999,2012-03-08,Dallas Stars,4,San Jose Sharks,3
1005,2012-03-08,Phoenix Coyotes,2,Minnesota Wild,3
1012,2012-03-09,Pittsburgh Penguins,2,Florida Panthers,1
1014,2012-03-10,Colorado Avalanche,3,Edmonton Oilers,2
1018,2012-03-10,Ottawa Senators,3,Buffalo Sabres,4
1022,2012-03-10,Toronto Maple Leafs,0,Philadelphia Flyers,1
1025,2012-03-11,Chicago Blackhawks,2,Los Angeles Kings,3
1035,2012-03-12,Phoenix Coyotes,4,Nashville Predators,5
1037,2012-03-13,Chicago Blackhawks,4,St. Louis Blues,3
1041,2012-03-13,New York Islanders,4,Washington Capitals,5
1046,2012-03-14,Buffalo Sabres,4,Colorado Avalanche,5
1048,2012-03-14,Montreal Canadiens,3,Ottawa Senators,2
1054,2012-03-15,New Jersey Devils,1,Colorado Avalanche,0
1057,2012-03-15,San Jose Sharks,2,Nashville Predators,1
1064,2012-03-17,Boston Bruins,3,Philadelphia Flyers,2
1065,2012-03-17,Florida Panthers,3,Buffalo Sabres,2
1068,2012-03-17,Montreal Canadiens,2,New York Islanders,3
1076,2012-03-18,Calgary Flames,1,Columbus Blue Jackets,2
1078,2012-03-18,Edmonton Oilers,2,Phoenix Coyotes,3
1089,2012-03-20,Dallas Stars,4,Phoenix Coyotes,3
1102,2012-03-22,Los Angeles Kings,1,St. Louis Blues,0
1103,2012-03-22,Minnesota Wild,3,Calgary Flames,2
1104,2012-03-22,Philadelphia Flyers,2,Washington Capitals,1
1108,2012-03-22,Tampa Bay Lightning,3,Edmonton Oilers,2
1110,2012-03-23,Florida Panthers,1,Edmonton Oilers,2
1112,2012-03-23,New Jersey Devils,3,Toronto Maple Leafs,4
1123,2012-03-24,San Jose Sharks,4,Phoenix Coyotes,3
1125,2012-03-24,Toronto Maple Leafs,3,New York Rangers,4
1129,2012-03-25,Florida Panthers,2,New York Islanders,3
1141,2012-03-27,Montreal Canadiens,2,Florida Panthers,3
1142,2012-03-27,New Jersey Devils,2,Chicago Blackhawks,1
1153,2012-03-29,Boston Bruins,2,Washington Capitals,3
1154,2012-03-29,Chicago Blackhawks,4,St. Louis Blues,3
1169,2012-03-31,Minnesota Wild,4,Los Angeles Kings,3
1172,2012-03-31,Philadelphia Flyers,3,Ottawa Senators,4
1179,2012-03-31,Washington Capitals,3,Montreal Canadiens,2
1181,2012-04-01,Chicago Blackhawks,4,Minnesota Wild,5
1182,2012-04-01,Detroit Red Wings,2,Florida Panthers,1
1193,2012-04-03,Nashville Predators,2,Minnesota Wild,1
1197,2012-04-03,Vancouver Canucks,5,Anaheim Ducks,4
1199,2012-04-04,St. Louis Blues,2,Detroit Red Wings,3
1200,2012-04-05,Carolina Hurricanes,2,Montreal Canadiens,1
1205,2012-04-05,Los Angeles Kings,5,San Jose Sharks,6
1206,2012-04-05,Minnesota Wild,2,Chicago Blackhawks,1
1215,2012-04-07,Boston Bruins,4,Buffalo Sabres,3
1220,2012-04-07,Detroit Red Wings,2,Chicago Blackhawks,3
6,2013-01-19,Nashville Predators,2,Columbus Blue Jackets,3
18,2013-01-20,Vancouver Canucks,2,Edmonton Oilers,3
19,2013-01-21,Boston Bruins,2,Winnipeg Jets,1
20,2013-01-21,Columbus Blue Jackets,3,Detroit Red Wings,4
22,2013-01-21,Nashville Predators,3,St. Louis Blues,4
38,2013-01-23,Vancouver Canucks,3,Calgary Flames,2
56,2013-01-26,Anaheim Ducks,3,Nashville Predators,2
66,2013-01-27,Ottawa Senators,1,Pittsburgh Penguins,2
75,2013-01-28,Los Angeles Kings,3,Vancouver Canucks,2
77,2013-01-29,Boston Bruins,2,New Jersey Devils,1
85,2013-01-29,San Jose Sharks,3,Anaheim Ducks,2
87,2013-01-30,Minnesota Wild,3,Chicago Blackhawks,2
95,2013-01-31,Los Angeles Kings,1,Nashville Predators,2
98,2013-01-31,San Jose Sharks,3,Edmonton Oilers,2
102,2013-02-01,Dallas Stars,4,Phoenix Coyotes,3
105,2013-02-01,Vancouver Canucks,2,Chicago Blackhawks,1
109,2013-02-02,Calgary Flames,2,Chicago Blackhawks,3
115,2013-02-02,San Jose Sharks,1,Nashville Predators,2
140,2013-02-07,Buffalo Sabres,5,Montreal Canadiens,4
147,2013-02-07,Philadelphia Flyers,2,Florida Panthers,3
160,2013-02-09,San Jose Sharks,0,Phoenix Coyotes,1
161,2013-02-09,St. Louis Blues,5,Anaheim Ducks,6
171,2013-02-11,Calgary Flames,1,Minnesota Wild,2
176,2013-02-12,Boston Bruins,3,New York Rangers,4
177,2013-02-12,Chicago Blackhawks,2,Anaheim Ducks,3
183,2013-02-12,Tampa Bay Lightning,3,Montreal Canadiens,4
191,2013-02-14,Minnesota Wild,3,Colorado Avalanche,4
193,2013-02-14,New York Rangers,3,New York Islanders,4
206,2013-02-16,Nashville Predators,2,Anaheim Ducks,3
215,2013-02-17,Vancouver Canucks,3,St. Louis Blues,4
221,2013-02-18,New Jersey Devils,1,Ottawa Senators,2
225,2013-02-19,Chicago Blackhawks,4,Vancouver Canucks,3
240,2013-02-21,Ottawa Senators,3,New York Rangers,2
253,2013-02-23,Edmonton Oilers,3,Phoenix Coyotes,2
271,2013-02-25,Ottawa Senators,2,Montreal Canadiens,1
278,2013-02-26,San Jose Sharks,3,Colorado Avalanche,2
290,2013-02-28,Florida Panthers,3,Buffalo Sabres,4
294,2013-02-28,San Jose Sharks,1,Detroit Red Wings,2
301,2013-03-02,Buffalo Sabres,4,New Jersey Devils,3
305,2013-03-02,Phoenix Coyotes,5,Anaheim Ducks,4
313,2013-03-03,Detroit Red Wings,1,Chicago Blackhawks,2
316,2013-03-03,New York Islanders,3,Ottawa Senators,2
317,2013-03-03,New York Rangers,3,Buffalo Sabres,2
319,2013-03-04,Phoenix Coyotes,5,Anaheim Ducks,4
323,2013-03-05,Columbus Blue Jackets,4,Edmonton Oilers,3
331,2013-03-05,Vancouver Canucks,2,San Jose Sharks,3
342,2013-03-07,New Jersey Devils,3,Buffalo Sabres,2
357,2013-03-09,Nashville Predators,1,Minnesota Wild,2
362,2013-03-09,Toronto Maple Leafs,4,Pittsburgh Penguins,5
366,2013-03-10,Detroit Red Wings,2,Columbus Blue Jackets,3
369,2013-03-10,New Jersey Devils,3,Winnipeg Jets,2
374,2013-03-11,Ottawa Senators,2,Boston Bruins,3
376,2013-03-12,Columbus Blue Jackets,1,Vancouver Canucks,2
387,2013-03-13,Montreal Canadiens,4,Ottawa Senators,3
391,2013-03-14,Columbus Blue Jackets,1,Chicago Blackhawks,2
392,2013-03-14,Dallas Stars,1,Anaheim Ducks,2
402,2013-03-15,Philadelphia Flyers,2,New Jersey Devils,1
405,2013-03-16,Columbus Blue Jackets,1,Phoenix Coyotes,0
414,2013-03-16,Toronto Maple Leafs,4,Winnipeg Jets,5
424,2013-03-18,New York Rangers,2,Carolina Hurricanes,1
439,2013-03-20,Edmonton Oilers,3,San Jose Sharks,4
441,2013-03-21,Buffalo Sabres,5,Toronto Maple Leafs,4
467,2013-03-24,New York Rangers,2,Washington Capitals,3
471,2013-03-25,Boston Bruins,3,Toronto Maple Leafs,2
475,2013-03-25,Ottawa Senators,3,New Jersey Devils,2
484,2013-03-26,Vancouver Canucks,1,Columbus Blue Jackets,0
486,2013-03-27,Boston Bruins,5,Montreal Canadiens,6
491,2013-03-28,Florida Panthers,5,Buffalo Sabres,4
494,2013-03-28,Philadelphia Flyers,3,New York Islanders,4
503,2013-03-29,Tampa Bay Lightning,5,New Jersey Devils,4
504,2013-03-30,Buffalo Sabres,3,Washington Capitals,4
508,2013-03-30,Minnesota Wild,4,Los Angeles Kings,3
513,2013-03-30,San Jose Sharks,3,Phoenix Coyotes,2
520,2013-04-01,Chicago Blackhawks,3,Nashville Predators,2
535,2013-04-02,Tampa Bay Lightning,2,Florida Panthers,3
543,2013-04-04,Chicago Blackhawks,3,St. Louis Blues,4
550,2013-04-04,Washington Capitals,2,New York Islanders,1
554,2013-04-05,Pittsburgh Penguins,2,New York Rangers,1
567,2013-04-07,Anaheim Ducks,4,Los Angeles Kings,3
568,2013-04-07,Buffalo Sabres,3,New Jersey Devils,2
573,2013-04-07,San Jose Sharks,4,Dallas Stars,5
593,2013-04-10,New York Rangers,3,Toronto Maple Leafs,2
596,2013-04-11,Detroit Red Wings,2,San Jose Sharks,3
597,2013-04-11,Los Angeles Kings,3,Colorado Avalanche,2
605,2013-04-12,Chicago Blackhawks,3,Detroit Red Wings,2
615,2013-04-13,Minnesota Wild,2,Columbus Blue Jackets,3
633,2013-04-16,San Jose Sharks,3,Los Angeles Kings,2
634,2013-04-16,St. Louis Blues,2,Vancouver Canucks,1
635,2013-04-16,Winnipeg Jets,4,Tampa Bay Lightning,3
638,2013-04-17,Boston Bruins,2,Buffalo Sabres,3
648,2013-04-18,St. Louis Blues,2,Phoenix Coyotes,1
658,2013-04-20,Chicago Blackhawks,2,Phoenix Coyotes,3
662,2013-04-20,Vancouver Canucks,2,Detroit Red Wings,1
663,2013-04-20,Winnipeg Jets,4,New York Islanders,5
677,2013-04-23,Carolina Hurricanes,4,New York Islanders,3
702,2013-04-26,Buffalo Sabres,2,New York Islanders,1
705,2013-04-26,Phoenix Coyotes,4,Colorado Avalanche,5
8,2013-10-03,Minnesota Wild,2,Los Angeles Kings,3
13,2013-10-03,Washington Capitals,5,Calgary Flames,4
18,2013-10-04,New Jersey Devils,3,New York Islanders,4
21,2013-10-05,Chicago Blackhawks,2,Tampa Bay Lightning,3
25,2013-10-05,New York Islanders,2,Columbus Blue Jackets,3
29,2013-10-05,Toronto Maple Leafs,5,Ottawa Senators,4
34,2013-10-07,Edmonton Oilers,5,New Jersey Devils,4
57,2013-10-11,Carolina Hurricanes,1,Los Angeles Kings,2
81,2013-10-15,Carolina Hurricanes,2,Chicago Blackhawks,3
85,2013-10-15,New York Islanders,3,Buffalo Sabres,4
96,2013-10-17,Chicago Blackhawks,2,St. Louis Blues,3
98,2013-10-17,Dallas Stars,4,San Jose Sharks,3
101,2013-10-17,Nashville Predators,1,Los Angeles Kings,2
107,2013-10-18,Anaheim Ducks,3,Phoenix Coyotes,2
108,2013-10-18,Winnipeg Jets,4,St. Louis Blues,3
111,2013-10-19,Florida Panthers,2,Minnesota Wild,1
118,2013-10-19,Pittsburgh Penguins,4,Vancouver Canucks,3
125,2013-10-21,Detroit Red Wings,0,San Jose Sharks,1
129,2013-10-22,Florida Panthers,2,Chicago Blackhawks,3
135,2013-10-22,Winnipeg Jets,4,Washington Capitals,5
144,2013-10-24,New Jersey Devils,2,Vancouver Canucks,3
157,2013-10-26,Dallas Stars,1,Winnipeg Jets,2
167,2013-10-27,Florida Panthers,3,Tampa Bay Lightning,4
168,2013-10-27,Los Angeles Kings,2,Edmonton Oilers,1
187,2013-10-31,Boston Bruins,3,Anaheim Ducks,2
189,2013-10-31,Phoenix Coyotes,5,Nashville Predators,4
195,2013-11-01,Ottawa Senators,4,New York Islanders,5
206,2013-11-02,San Jose Sharks,2,Phoenix Coyotes,3
210,2013-11-02,Washington Capitals,3,Florida Panthers,2
213,2013-11-03,Ottawa Senators,3,Dallas Stars,4
216,2013-11-05,Boston Bruins,2,Dallas Stars,3
221,2013-11-05,Montreal Canadiens,2,St. Louis Blues,3
222,2013-11-05,Phoenix Coyotes,3,Vancouver Canucks,2
223,2013-11-05,San Jose Sharks,4,Buffalo Sabres,5
239,2013-11-07,Washington Capitals,3,Minnesota Wild,2
242,2013-11-08,Toronto Maple Leafs,2,New Jersey Devils,1
245,2013-11-09,Carolina Hurricanes,2,Minnesota Wild,3
252,2013-11-09,Phoenix Coyotes,4,Washington Capitals,3
260,2013-11-10,Winnipeg Jets,5,San Jose Sharks,4
262,2013-11-12,Buffalo Sabres,3,Los Angeles Kings,2
265,2013-11-12,Detroit Red Wings,2,Winnipeg Jets,3
267,2013-11-12,Montreal Canadiens,1,Tampa Bay Lightning,2
274,2013-11-13,Minnesota Wild,2,Toronto Maple Leafs,1
278,2013-11-14,Chicago Blackhawks,5,Phoenix Coyotes,4
284,2013-11-15,Carolina Hurricanes,3,Anaheim Ducks,2
285,2013-11-15,Columbus Blue Jackets,2,Montreal Canadiens,3
286,2013-11-15,Detroit Red Wings,3,Washington Capitals,4
292,2013-11-15,Winnipeg Jets,3,Philadelphia Flyers,2
298,2013-11-16,New York Islanders,5,Detroit Red Wings,4
310,2013-11-18,Winnipeg Jets,4,Calgary Flames,5
320,2013-11-19,Vancouver Canucks,2,Florida Panthers,3
325,2013-11-21,Boston Bruins,2,St. Louis Blues,3
336,2013-11-22,Calgary Flames,4,Florida Panthers,3
349,2013-11-23,Toronto Maple Leafs,2,Washington Capitals,1
351,2013-11-23,Winnipeg Jets,2,Minnesota Wild,3
373,2013-11-27,Pittsburgh Penguins,6,Toronto Maple Leafs,5
374,2013-11-27,San Jose Sharks,3,Los Angeles Kings,2
384,2013-11-29,Dallas Stars,1,Chicago Blackhawks,2
390,2013-11-29,Washington Capitals,3,Montreal Canadiens,2
392,2013-11-30,Colorado Avalanche,3,Minnesota Wild,2
397,2013-11-30,Nashville Predators,2,Philadelphia Flyers,3
401,2013-11-30,San Jose Sharks,4,Anaheim Ducks,3
403,2013-12-01,Dallas Stars,2,Edmonton Oilers,3
409,2013-12-03,Anaheim Ducks,2,Los Angeles Kings,3
420,2013-12-04,New Jersey Devils,3,Montreal Canadiens,4
434,2013-12-06,Chicago Blackhawks,2,Anaheim Ducks,3
444,2013-12-07,Ottawa Senators,3,Toronto Maple Leafs,4
454,2013-12-09,Ottawa Senators,5,Philadelphia Flyers,4
457,2013-12-10,Buffalo Sabres,2,Ottawa Senators,1
463,2013-12-10,Florida Panthers,3,Detroit Red Wings,2
466,2013-12-10,San Jose Sharks,2,New York Islanders,3
468,2013-12-10,Washington Capitals,6,Tampa Bay Lightning,5
481,2013-12-12,Tampa Bay Lightning,2,Detroit Red Wings,1
482,2013-12-12,Winnipeg Jets,3,Colorado Avalanche,4
483,2013-12-13,Florida Panthers,3,Washington Capitals,2
488,2013-12-14,Colorado Avalanche,1,Minnesota Wild,2
502,2013-12-15,New York Rangers,4,Calgary Flames,3
503,2013-12-15,Washington Capitals,5,Philadelphia Flyers,4
513,2013-12-17,Minnesota Wild,3,Vancouver Canucks,2
516,2013-12-17,New York Islanders,2,Tampa Bay Lightning,3
521,2013-12-18,New York Rangers,3,Pittsburgh Penguins,4
532,2013-12-19,Toronto Maple Leafs,2,Phoenix Coyotes,1
534,2013-12-20,Chicago Blackhawks,2,Vancouver Canucks,3
541,2013-12-21,Los Angeles Kings,3,Colorado Avalanche,2
546,2013-12-21,San Jose Sharks,3,Dallas Stars,2
